Product ID,Brand,Category,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD10001,A2V,Rack Accessories,A2V - 2U Rack Drawer,A2VERLSD2U,2U Lockable Drawer,56.75,89.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/28641_web.jpg
PROD10002,A2V,Rack Accessories,A2V - 1U Blank Space,A2VERB1U,1U Blank Space - Solid,6.5,10.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/ERB2U.jpg
PROD10003,A2V,Rack Accessories,A2V - 2U Blank Space,A2VERB2U,2U Blank Space - Solid,9.7,11.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/ERB2U.jpg
PROD10004,A2V,Rack Accessories,A2V - 2U Blank Space - Vented,A2VERB2UV,2U Blank Space - Vented,11,11.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/ERB2UV.jpg
PROD10005,A2V,Rack Accessories,A2V - 3U Rack Drawer,A2VERLSD3U,3U Lockable Drawer,78.5,119.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/22157.jpg
PROD10006,A2V,Rack Accessories,A2V - 2U Shelf - Vented,A2VERS2UV,2U Shelf - Vented,23.77,69.98,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/ERS2UV.jpg
PROD10007,A2V,Rack Accessories,A2V - 1U Shelf - Vented,A2VERS1UV,1U Shelf - Vented,17.7,59.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/ERS1UV.jpg
PROD10008,A2V,Rack Accessories,A2V - 1U Blank Space - Vented,A2VERB1UV,1U Blank Space - Vented,7.9,10.99,,Davis,,,https://uisupplies.com/LinkClick.aspx?fileticket=7x5_aplF2O0%3D&tabid=176&portalid=1&mid=634,https://uisupplies.com/Portals/1/Images/prod_images/ERB1UV.jpg
PROD10009,ADI,Access Control,0E-MAG600LB,0E-MAG600LB,"ADI PRO 0E-MAG600LB Single Door Magnetic Lock, 600lb., UL/ULC, Brushed Aluminum",96.99,145.5,,ADI,,,https://www.adiglobaldistribution.us/Product/adi-pro-0e-mag-lb?option=0E-MAG600LB,https://cdn.adiglobaldistribution.us/pim/500X500/10004/0E-MAG600LB_lg.jpg
PROD10010,AVARRO,Equipment Racks,"Avarro 18U Rack 24"" Depth - Glass Door",RK-ER18U,"Avarro 18U Rack 24"" Depth - Glass Door, 2 Fans, Casters, Shelves, Pre-Assembled",499.99,499.99,,ADI,,,https://www.adiglobaldistribution.us/Product/avarro-rk-er,https://cdn.adiglobaldistribution.us/pim/500X500/10008/RK-ER18U.jpg
